course_code,recovered_name,credit_units
CFD1106,COMPUTER LITERACY ,3
CFD1107,BASIC ACCOUNTING ,3
CFD1108,COMMUNICATION SKILLS,3
CFD1201,FASHION DRAWING,3
CFD1202,PATTERN MAKING,3
CFD1203,CLOTHING CONSTRUCTION,3
CFD1204,CRAFT,3
CFD1205,CRAFT,3
CFD1206,TEXTILES FABRIC DESIGN,3
CGC1209,COUNSELLING ETHICS,3
CIT1106,INTRODUCTION TO WEBSITE DEVELOPMENT AND INTERNET TECHNOLOGY,3
CJM 1201,MASS MEDIA & SOCIETY,3
CJM1104,THEORIES OF MASS COMMUNICATION,3
CME2105,PRODUCTION TECHNOLOGY I,3
CME2206,INDUSTRIAL TRAINING,3
CS1101D,COMMUNICATION SKILLS,3
CSC1301,PRACTICAL  SKILLS DEVELOPMENT,3
CSC1303,CISCO CERTIFIED NETWORK ASSOCIATE,3
CSC2100,CALCULUS,3
CSC2113,SOFTWARE ENGINEERING,3
CSC2114,ARTIFICIAL INTELLIGENCE,3
CSC2200,OPERATING SYSTEM,3
CSC2209,SYSTEM PROGRAMMING,3
CSC2210,AUTOMATA COMPLEXITY AND COMPUTABILITY,3
CSC2212,INDIVIDUAL PROJECT II,3
CSC2214,CRYPTOLOGY AND CODING THEORY,3
CSC2301,INDUSTRIAL TRAINING,3
CSC3102,LINEAR PROGRAMMING LANGUAGES,3
CSC3103,USER INTERFACE DESIGN,3
CSC3105,COMPUTER GRAPHICS,3
CSC3112,PRINCIPLES OF PROGRAMMING LANGUAGES,3
CSC3113,EMERGING TRENDS IN COMPUTER SCIENCE ,3
CSC3114,SELECTED TOPICS IN COMPUTER SCIENCE,3
CSC3115,ADVANCED PROGRAMMING,3
CSC3203,FURTHER LINEAR PROGRAMMING AND NETWORK ANALYSIS,3
CSC3205,COMPILER DESIGN,3
CSC3206,GROUP PROJECT,3
CSC3207,COMPUTER SECURITY,3
CSK1101,NUMERIC ANALYSIS 1,3
DAD1106,FASHION DESIGN AND STUDIO TECHNOLOGY,3
DAD1108,INTRODUCTION TO TEXTILE ,4
DADE1105,SCIENCE OF MATERIALS,3
DADE1209,INDUSTRIAL ORIENTATION,3
DAE2106,ELECTRONICS,3
DAE2206,ELECTRONICS,3
DAGI2107,INSTRUCTIONAL MODES AND RESOURCES IN AGRICULTURE EDUCATION,2
DAGI2208,PRINCIPLES OF CROP PRODUCTION,2
DAGI2304,CROP PRODUCTION,2
DBC1106,BUSINESS MATHEMATICS,3
DBM,INTERMEDIATE ACCOUNTING,3
DBM2111,INSTITUTIONAL ACCOUNTING,3
DBM2132,TAXATION MANAGEMENT,3
DC1110,PRACTICALS,5
DC1213,INDUSTRLISATION AND ORIETATION STUDIES,3
DCE1106,CONSTRUCTION SURVEYING,3
DCE2106,BRICKLAYING AND CONCRETE PRACTICE,3
DCE2202,BUILDING SERVICES (PLUMBING),4
DCE2211,COMPUTER APPLICATIONS,3
DCEI1202,ESSENTIALS OF CHILD PSYCHOLOGY,3
DCEI1203,INFORMATION LITERACY,3
DCEI1204,MATHEMATICS APPLICATION IN ECE,3
DCS1103,COMMUNICATION SKILLS,3
DCS1106,CONSTRUCTION SURVEYING I,4
DCUI1201,FOUNDATIONS OF CURRICULUM STUDIES,3
DDE2205,CONCRETE TECHNOLOGY,4
DDE2207,SPECIFICATION,4
DDS 1101,INTRODUCTION TO DEVELOPMENT STUDIES,3
DDS 1104,POLITICAL ECONOMY OF DEVELOPMENT AND UNDER DEVELOPMENT,3
DDS 1105,ETHICS AND AFRICAN DEVELOPMENT,3
DDS 2102,RESEARCH METHODS ,3
DDS2112,HUMAN RIGHTS AND DEVELOPMENT,3
DE1110,Practicals,3
DEC11201,FUNDAMENTALS OF ECD,3
DEC2307D,CREATIVE ARTS IN EARLY CHILDHOOD,2
DECD 1202,THE CONCEPT OF BEHAVIOR MANAGEMENT IN CHILDREN ,3
DECD1203,FUNDAMENTALS OF EARLYCHILDHOOD EDUCATION,2
DECI2303,CREATIVE ART IN EARLY CHILDHOOD EDUCATION,2
DED1102, ENGINEERING DRAWING I,4
DEE 1201,ENGINEERING MATH II,4
DEE 1202,ENGINEERING DRAWING II,4
DEE 1207,ENGINEERING MATERIALS,4
DEE2106,ELECTRONICS III,4
DEF 1201,SOCIOLOGY OF EDUCATION ,3
DEF1101,HISTORICAL FOUNDATIONS OF EDUCATION,2
DEF1102,PSYCHOLOGICAL FOUNDATIONS OF EDUCATION,2
DEF11201,SOCIOLOGICAL FOUNDATIONS OF EDUCATION,3
DEF11202,CONTEMPORARY EDCATION SYSTEMS,3
DEL 1202,SOCIAL LINGUISTIC,3
DEL 2201,ENGLISH LANGUAGE MATERIAL PRODUCTION ,3
DEL2201,LITERATURE & LANGUAGE TEACHING,3
DEL2202,ASSESSMENT AND EVALUATION IN LANGUAGE TEACHING ,3
DEL2203,ERROR ANALYSIS AND REMEDIAL TEACHING ,3
DEL2204,ENGLISH FOR FUNCTIONAL ADULT LITERACY ,3
DEL2301,LANGUAGE IN SOCIETY AND SKILLS IMPROVEMENT,3
DEM1101,ENGINEERING  MATH,4
DEP1108,ELECTRICAL POWER TECHNOLOGY AND PRACTICE II,4
DEP1202,ENTREPRENEURSHIP SKILLS AND INNOVATION,2
DEP2103,ENTREPRENEURSHIP SKILLS AND INNOVATION ,3
DET2210,ENTREPRENEURSHIP,3
DFD,INDUSTRIAL TRAINING ASSESSMENT AND REPORT,2
DGE 1202,REGIONAL DEVELOPMENT GEOGRAPHY OF AMERICA,3
DGE 2201,AGRICULTURE DEVELOPMENT ,3
DGE 2202,SYSTEMATIC GEOGRAPHY OF UGANDA,3
DGE1203,GEOGRAPHY TEACHING METHODS,3
DHI 2201,THEMES IN WEST AFRICA,3
DHI 2203,HISTORY OF WORLD REVOLUTION ,3
DHI1203,METHODOLOGY OF HISTORY OF EDUCATION ,3
DHRM1104,ENGLISH FOR BUSINESS,3
DHRM1109,BUSINESS LAW,3
DHRM1208,INTRODUCTION TO HUMAN RESOURCE,3
DHRM2206,ORGANIZATIONAL INTERNSHIP,3
DHTM1101,INTRODUCTION TO TOURISM,3
DIT 2104,OBJECT ORIENTED PROGRAMMING (JAVA),3
DIT1109,COMPUTER LITERACY,3
DIT1207D,CISCO CERTIFIED NETWORK ASSOCIATE (AUDITED),5
DIT1210,OBJECT ORIENTED PROGRAMMING I,3
DIT1211,DATA STRUCTURES AND ALGORITHMS,3
DJ 2204,NEW MEDIA AND FILMING ,3
DJM1105,COMMUNICATION SKILLS,3
DJM2101,INTRODUCTION TO MEDIA LAW AND ETHICS ,3
DLIS111,REFERENCE SERVICES,3
DLIS1114,BASIC OF INFORMATION WORK,3
DLIS1115,WEBSITE DEVELOPMENT AND INTERNET TECHNOLOGY,3
DLIS2114,BIBLIOGRAPHIC CONTROL,4
DLIS2208,INTERNSHIP,3
DLL11O1,INTRODUCTIONTO THE STUDY OF LUGANDA LANGUAGE EDUCATION,3
DLS2114,BIBLIOGRAPHIC CONTROL,3
DLT1201,THE NOVEL: FORM AND CONCEPTS,3
DLT1202,ELEMENTS AND SCOPE OF DRAMA,3
DLT2201,DEVELOPING MATERIALS FOR LITERATURE CLASSES,3
DLT2201D,LITERATURE TEACHING METHODS,2
DLT2202,LITERATURE TEACHING METHODS ,3
DLT2203,THE ESSAY,3
DLT2204,THE ART OF COMMUNICATION,3
DLTI2201,LITERATURE TEACHING METHODS,3
DMA1101,EDUCATIONAL MANAGEMENT AND ADMINISTRATION,2
DMB2101,BUSINESS LAW,3
DMB2224,BUSINESS STATISTICS,3
DME 1106,FUNDAMENTALS OF ELECTRONICS,4
DME1103,MECHANICAL ENGINEERING SCIENCE,3
DME1104,ELECTRICAL ENGINEERING SCIENCE,4
DME1105,APPLIED HEAT,3
DME1106,ELECTRONICS,3
DME1205,CALCULUS II,4
DME2105,ENGINEERING THERMODYNAMICS III,4
DME2107,production technology,3
DME2204,INSTRUCTIONAL MODES OF MATHEMATICS,3
DMEI1205,ANALYSIS AND ASSESSMENT OF PRIMARY INTERGRATED SCIENCE EDUCATION,3
DMEI1206,BIOLOGICAL MATERIAL AND STRUCTURE,3
DMEI1207,CHEMICAL STRUCTURE,3
DMUI2204,ELEMENTALLY HARMONY,2
DPA,ENTREPRENUERSHIP SKILLS AND DEVELOPMENT,3
DPA 1205,PUBLIC FINANCIAL MANAGEMENT,3
DPA 1206,LOCAL GOVERNMENT ADMINISTRATION,3
DPE201D,MIN CRICKET AND BASKETBALL,2
DPE2206,MICRO-TEACHING IN PE II,2
DPE2303B,SAFETY AND INJURIES IN P.E,NULL
DPEI1207,PRIMARY GAMES I,3
DPEI1208,PRIMARY GYMNASTICS II,2
DPEI2109,PRIMARY VOLLEY BALL,3
DPSI2301,SCHOOL PRACTICE (12WKS),3
DREI1102,CONTEMPORARY ETHICAL ISSUES,3
DREI2204,AFRICAN TRADITION RELIGION,2
DSC1206D,BIOLOGICAL MATERIAL AND STRUCTURE,2
DSC1207D,CHEMICAL STRUCTURE,2
DSC1208D,PHYSICAL MATERIAL AND STRUCTURE,2
DSC1304D,FOOD AND HEALTH REQUIREMENTS FOR MAN,2
DSC1305D,INSTRUCTIONAL MODES AND RESOURCES IN INTERGRATED SCIENCE,2
DSC1306D,BIOLOGICAL CHANGE,2
DSC1307D,CHEMICAL CHANGE,2
DSC2106D,HEALTH,2
DSC2107D,COMMUNICATION AND TRANSPORT IN BIOLOGY CONTEXT,2
DSC2108D,COMMUNICATION AND TRANSPORT IN PHYSICS CONTEXT,2
DSC2205D,ESSENTIAL RESOURCES IN BIOLOGY FRAME WORK,2
DSC2206D,ESSENTIAL RESOURCES IN PHYSICS  FRAME WORK,2
DSC2207D,ESSENTIAL RESOURCES IN CHEMISTRY FRAME WORK,2
DSC2209D,ENVIRONMENT SCIENCE ISSUES,2
DSC2301,PRACTICAL SCIENCE,2
DSC2304D,WORK AND INDUSTRY IN PHYSICS PERSPECTIVE,2
DSC2305D,WORK AND INDUSTRY IN CHEMISTRY PERSPECTIVE,2
DSCI 2201,INTRODUCTION TO ORGANIC CHEMISTRY, NATURAL AND SYNTHETIC MATERIAL,2
DSE1112,WEAVING AND STUDIO TECHNOLOGY,3
DSE1202,OBJECT ORIENTED PROGRAMMING,3
DSE2102,DRAWING AND STUDIO TECHNOLOGY,3
DSE2201,LABOR ECONOMIC,3
DSE2202,PRODUCTION OPERATIONS MANAGEMENT,3
DSE2204,HUMAN RESOURCE MANAGEMENT,3
DSE2205,ENTREPRENEURSHIP TEACHING METHODS,3
DSM1104,SCIENCE OF MATERIALS,4
DSM1105,SCIENCE OF MATERIALS,3
DSM1205,SCIENCE OF MATERIAL,3
DSPI 2301,SCHOOL PRACTICE(12WEEKS),2
DSS1106,KEYBOARD SKILLS AND COMPUTER OPERATIONS ,3
DVA 1201,FOUNDATION OF CURRICULUM STUDIES ,3
DVA1202D,WEAVING,2
DVA1203D,SCULPTURE (Clay Modeling),2
DVA1205D,ART EDUCATION II,2
DVA1303D,WATER-COLOUR PAINTING AND STUDIO TECHNOLOGY,2
DVA1306D,SCREEN PRINTING I,2
DVA1309D,MATERIALS FOR SCULPTURE I,2
DVA1310D,CERAMICS (CLAY I),2
DVA1311D,WEAVING (SPINNING AND DYEING YARN),2
DVA1312D,MULTIMEDIA CRAFTS (TECHNIQUES),2
DVA2104D,COLOUR PAINTING,2
DVA2106D,SCREEN PRINTING II,2
DVA2109D,MATERIALS FOR SCULPTURE II,2
DVA2110D,CERAMICS (CLAY II),2
DVA2111D,WEAVING,2
DVA2112D,MULTIMEDIA CRAFTS (ENVIRONMENT),2
DVA2201,DRAWING (Anatomy),3
DVA2202,PRACTICAL PROJECT II,3
DVA2203,ELECTIVE 2-D III,3
DVA2204,ELECTIVE 3-D III,3
DVA2204D,OILPAINTING,2
DVA2206D,BLOCK PRINTING I,2
DVA2208,SCULPTURE (Monumental),3
DVA2209,CERAMICS (Kilns and Glazes),3
DVA2209D,MONUMENTAL SCULPTURE,2
DVA2210,WEAVING (Rug),3
DVA2210D,CERAMICS (KILNS AND GLAZES),2
DVA2211,MULTIMEDIA CRAFT (Environment),3
DVA2211D,WEAVING (RUG),2
DVA2212D,MULTIMEDIA,2
DVA2304D,PAINTING(LARGE FORMAT),2
DVA2306D,BLOCK PRINTMAKING,2
DVA2309D,SCULPTURE (ADVANCED),2
DVA2310D,CERAMICS I (INDUSTRIAL),2
DVA2311D,WEAVING I (INTERLACING),2
DVA2312D,MULTIMEDIA CRAFTS (LEATHER),2
DVAI1301,HISTORY AND ART APPRECIATION,2
DVAI1302,DRAWING (VALUES),2
DVAI1303,WATER-COLOUR PAINTING AND STUDIO TECHNOLOGY,2
DVAI1304,GRAPHIC DESIGN AND STUDIO TECHNOLOGY,2
DVAI1306,SCREEN PRINTING I,2
DVAI1307,FABRIC DECORATION (INKS AND DYES),2
DVAI1309,MATERIALS FOR SCULPTURE I,2
DVAI1310,CERAMICS (CLAY I),2
DVAI1311,WEAVING (SPINNING AND DYEING YARN),2
DVAI1312,MULTIMEDIA CRAFTS (TECHNIQUES),2
DVAI2101,DRAWING I (ANATOMY),2
DVAI2104,COLOUR PAINTING,2
DVAI2105,GRAPHICS I (TYPOGRAPHY AND ILLUSTRATION),2
DVAI2106,SCREEN PRINTING II,2
DVAI2107,FABRIC DECORATION I (MULTI-MEDIA),2
DVAI2109,MATERIALS FOR SCULPTURE II,2
DVAI2110,CERAMICS (CLAY II),2
DVAI2111,WEAVING,2
DVAI2112,MULTIMEDIA CRAFTS (ENVIRONMENT),2
DVAI2201,DRAWING II (ANATOMY),2
DVAI2205,GRAPHICS II (TYPOGRAPHY AND ILLUSTRATION),2
DVAI2206,BLOCK PRINTING I,2
DVAI2207,FABRIC DECORATION II (MULTI-MEDIA),2
DVAI2210,CERAMICS (KILNS AND GLAZES),2
DVAI2211,WEAVING (RUG),2
DVAI2212,MULTIMEDIA,2
DVAI2301,HISTORY AND APPRECIATION OF ART,2
DVAI2302,DRAWING V (SIMPLIFICATION AND DISTORTION),2
DVAI2304,PAINTING(LARGE FORMAT),2
DVAI2305,ADVERTISING GRAPHICS,2
DVAI2306,BLOCK PRINTMAKING,2
DVAI2307,FABRIC DESIGN I,2
DVAI2309,SCULPTURE (ADVANCED),2
DVAI2310,CERAMICS I (INDUSTRIAL),2
DVAI2311,WEAVING I (INTERLACING),2
DVAI2312,MULTIMEDIA CRAFTS (LEATHER),2
DVAI3101,ADVANCED DRAWING I (SIGNATURE),2
DVAI3104,ADVANCED OIL PAINTING I,2
DVAI3105,GRAPHICS I (VISUAL COMMUNICATION),2
DVAI3106,BLOCK PRINTING II,2
DVAI3107,FABRIC DESIGN II,2
DVAI3109,ENVIRONMENT AND SCULPTURE,2
DVAI3110,CERAMICS II (INDUSTRIAL),2
DVAI3111,WEAVING  I (INTERLACING),2
DVAI3112,MULTIMEDIA CRAFTS,2
DVAI3201,ADVANCED DRAWING II (SIGNATURE),2
DVAI3204,ADVANCED OIL PAINTING,2
DVAI3205,PAINTING GRAPHICS (VISUAL COMMUNICATION),2
DVAI3206,PRINTMAKING AND THE ENVIRONMENT I,2
DVAI3207,FABRIC DESIGN I (MASS PRODUCTION),2
DVAI3209,SCULPTURE (PROTOTYPES),2
DVAI3210,CERAMICS I (MASS PRODUCTION),2
DVAI3211,WEAVING I (DESIGNS FOR WOVEN STRUCTURES),2
DVAI3212,MULTIMEDIA CRAFTS I (MOBILE TOYS),2
DVAI3302,DRAWING,2
DVAI3304,ADVANCED OIL PAINTING II,2
DVAI3305,GRAPHICS II (VISUAL COMMUNICATION),2
DVAI3306,PRINTMAKING AND THE ENVIRONMENT II,2
DVAI3307,FABRIC DESIGN II (MASS PRODUCTION),2
DVAI3309,SCULPTURE (PROTOTYPE),2
DVAI3310,CERAMICS II (MASS PRODUCTION),2
DVAI3311,WEAVING II  (DESIGNS FOR WOVEN STRUCTURES),2
DVAI3312,MULTIMEDIA CRAFTS II (MOBILE TOYS),2
DVAI3313,EXHIBITION,2
DVG121,AGRICULTURAL ECONOMICS I,3
DVG122,AGRICULTURAL EDUCATION I,3
DVG123,AGRIC. MECHANIZATION I,3
DVG124,CROP PRODUCTION PRACTICES ,3
DVG221,ANIMAL NUTRITION II,3
DVG222,AGRICULTURAL ECONOMICS II,3
DVG223,AGRIC. MECHANIZATION II,3
DVG224,ANIMAL PRODUCTION PRACTICALS ,3
DVS,ENVIRONMENT AND SUSTAINABLE DEVELOPMENT,NULL
DVS1103C,INTRODUCTORY  ECONOMICS,3
DVS1204,PHOTOGRAPHY,3
DVS1205,FASHION DESIGN,3
END2209D,Industrial Organisation and Management,3
END2210D,Electrical Workshop Technology and Practice,3
END2212D,Instrumentation and Control,3
ENG 1102D,MECHANICAL ENGINEERING SCIENCE I,3
ENG 1202D,Electrical Power I,3
ENG 2210D,ELECTRICAL INSTALLATION AND PRACTICE,NULL
ENG110B,SOCIETY AND ENGINEERING,3
ENG1203,WORKSHOP TECHNOLOGY AND PRACTICE,3
ENG123D,MECHANICAL ENGINEERING SCIENCE II,3
ENG2111C,MECHANICAL DRAWING AND DESIGN I,3
ENG2208C,PRODUCTION TECHNOLOGY II,3
ENG3211B,BUILDING SERVICES,4
ENG4201B,BUSINESS RESEARCH PROJECT,3
ENG4444D,WELDING AND FABRICATION ,3
FAD 2103B,OIL PAINTING & STUDIO TECHNOLOGY,3
FAD1108D,BASIC SEWING PROCESSES,3
FAD210,FASHION DRAWING & STUDIO TECHNLOGY,3
FAD2311B,FUNCTIONAL SCULPTURE & STUDIO TECHNOLOGY,3
FIN 2201D,TAXATION MANAGEMENT,3
FIN201,TAXATION MANAGEMENT,NULL
FND1101,COMMUNICATION AND TECHNOLOGY SKILL,3
FND1108D,Communication Skills,3
GHM2202B,TOURISM ETHICS,3
ICT 2107B,E-COMMERCE,3
ICT1101,ICT 1101D,3
ICT1210D,OBJECT ORIENTED PROGRAMMING I,3
ICT2109,DIGITAL MARKETING,3
ICT2109B,E-COMMERCE,4
ICT2123B,INFORMATION LITERACY,3
ICT2124B,EVENT DRIVEN PROGRAMMING,4
ICT2206B,EVEN DRIVEN PROGRAMMING,3
ICT2206D,BIBLIOGRAPHIC CONTROL,4
ICT2207,SERVER SETUP CONFIGURATION AND MANAGEMENT,4
ICT2208D,WEBSITE DESIGN AND INTERNET TECHNOLOGY,4
ICT2209D,E-COMMERCE,NULL
ICT2210D,RESEARCH METHODOLOGY,NULL
ICT2213B,DIGITAL IMAGE PROCESSING AND ANALYSIS,4
ICT2214B,INTRODUCTION TO PSYCHOLOGY,3
ICT2221B,RESEARCH METHOLOGY,NULL
ICT2222B,SERVER SETUP, CONFIGURATION & MANAGEMENT,4
ICT2223B,OBJECT ORIENTED PROGRAMMING III (PYTHON),4
ICT3107,COMPUTER THEORY,3
ICT3110B,DIGITAL IMAGE PROCESSING AND ANALYSIS,4
ICT3216B,COMPUTER APPLICATION,3
IFA2201,INTERNSHIP,4
IFA3201,INTERNSHIP,4
IT1101D,Computer Literacy,3
JIT1101,GRAPHICS,3
JIT1102B,MOBILE AP,3
MG2103D,Project Planning and Management,3
MGT1204D,ORGANIZATIONAL PSYCHOLOGY,4
MGT1211D,TECHNOPRENUERSHIP SKILLS DEVELOPMENT,3
MGT202D,ETHICS,3
MGT3102,INDUSTRIAL RELATIONS ,3
MGT3201D,ORGANIZATION INTERNSHIP,3
MHIS8205,DIPLOMATIC HISTORY OF EUROPE, 1789 - 1945,4
MPA1101,INTRODUCTION TO PUBLIC ADMINISTRATION,4
MSC1106C,THEORIES OF MASS COMMUNICATION,3
MSC1201C,MASS MEDIA AND SOCIETY,3
MSC1203C,PHOTO JOURNALISM,3
MUI2102,ELEMENTARY HARMONY I,3
PCR3205B,PROCUREMENT AUDIT MANAGEMENT,3
PRC2202D,PROCUREMENT LAW,3
PRC2206,COMMERCIAL RELATIONSHIP ,3
PS 1101,PROFESSORIAL STUDIES I,3
SWA1107,SOCIOLOGY AND CULTURE ,3
SWA1202B,ELEMENTS OF SOCIAL WORK,3
SWA2206,SOCIAL SECURITY SYSTEMS,3
SWA3108,FUNDAMENTALS OF GIDANCE AND COUNSELLING,3
SWSA2104,ORGANIZATIONAL MANAGEMENT,3
THM3112B,TRAVEL AGENCY OPERATIONS,3
THM3204B,MANAGEMENT AND COST ACCOUNTING,3
YDM21001,COMPUTER INTELIGENCE,3
