course_code,recovered_name,credit_units
BEFI106,PSYCHOLOGICAL FOUNDATION OF EDUCATION,3
BEFI1108,HISTORICAL FOUNDATIONS OF EDUCATION,3
BEFI1303,RESARCH METHODOLOGY,3
BEFI2301,DISABILITIES IN CHILDREN AND THEIR MANAGEMENT IN EDUCATIONAL SETTING,3
BEG2104,ENGINEERING GEOLOGY,4
BEICT,management Information System,3
BEICT110,INFORMATION SYSTEM,3
BEICT210,COMPUTER REPAIR AND MAINTENANCE,3
BEL1103,ENGLISH PHONETICS AND PHONOLOGY,2
BEL1104,ANALYSIS AND EVALUATION OF LOWER PRIMARY ENGLISH CURRICULUM (P1 - P4),1
BEL3206B,AFRICAN  LITERATURE,3
BEL3207,ENGLISH STYLISTICS,3
BELI1105,LISTENING AND SPEAKING,2
BELI1106,Teaching Thermorphology of English,3
BELI1203,THEORIES OF LANGUAGE AND LANGUAGE TEACHING/LEARNING,2
BELI1204,SOCIOLOGUISTICS IN LANGUAGE TEACHING/LEARING,1
BELI1304,LANGUAGE ANALYSIS AND SYNTAX,3
BELI2108,INSTRUCTIONAL MODES AND RESOURCES IN ENGLISH LANGUAGE,2
BELI3203,THE STRUCTURE OF THE ENGLISH SENTENCE,3
BELI3204,LITERATURE INSTRUCTIONAL MATERIAL PRODUCTION,2
BEM1201,ENGINEERING MATHEMATICS II,3
BEM2204B,STATISTICAL INFERENCE I,3
BEM3108,ORGANISING  FRO INNOVATIVE PRODUCT DEVELOPMENT,3
BEMI1107,INTRODUCTION TO EDUCATIONAL MEASUREMENT AND EVALUATION,2
BEMI1301,TEACHING OF OPERATION ON NUMBERS,2
BEMI2102,GEOMETRY/GEOMETRIC CONTRUCTION,2
BEMI2103,TEACHING OF SETS NUMERATION SYSTEM AND PLACE VALUE IN UPPER PRIMARY,2
BEMI2201,Numerical Analysis,2
BEMI2202,Abstract Algebra,2
BEMI2203,Complex Variables,3
BEMI2302,CEOMETRICAL CONSTRUCTION,3
BEP,PRINCIPLE OF MARKETING,3
BEP3205,RESOURCE MOBILIZATION  ,3
BER3301,RESEARCH REPORT ,3
BERI1201,RESEARCH METHODOLOGY,3
BES2108,ECONOMIC POLICY AND PLANNING,3
BFA1105,INTRODUCTION TO TEXTILES & STUDIO TECHNOLOGY (FABRIC DESIGN, WEAVING & FASHION),4
BFA1205,INTRODUCTION TO MULTIMEDIA CRAFTS & STUDIO TECHNOLOGY,4
BFA1206,TECHNICAL DRAWING,3
BFA1207,EXHIBITION & TECHNIQUES,5
BFA2105,PRINTING & STUDIO TECHNOLOGY,3
BFA2107,DESIGN PRACTCE IN CERAMICS,3
BFA2108,WEAVING & STUDIO TECHNOLOGY ,3
BFA2109,FASHION DRAWING AND ILLUSTRATION,3
BFA2110,MULTIMEDIA CRAFTS & STUDIO TECHNOLOGY,3
BFA3108,CERAMICS V,3
BFA3210,WEAVING,3
BFA3304,EXHIBITION,2
BGCI2301,INTRODUCTION TO GUIDANCE AND COUNSELLING,3
BGE13105,RESOURCE AND DEVELOPMENT,3
BGEI1201,FIELD AND LABORATORY TECHNIQUES IN GEOGRAPHY,2
BGEI1202,EAST AFRICAN GEOGRPAHY,2
BGEI1203,PRACTICAL GEOGRAPHY,3
BGEI2205,GEOGRAPHY RESEARCH METHODS,2
BGEI2206,GEOGRAHPY RESEARCH METHODS,2
BGEI2305,PRINCIPLES OF RESOURCE AND DEVELOPMENT,3
BGEI3104,DEVELOPMENT GEOGRAPHY OF EUROPE AND ASIA,3
