prog	yr	sem	subject	codes	the_codes
BED(S)	2	1	FUNDAMENTALS OF CROP PROTECTION	2	BAG2101B | BAG2102B
BED(S)	2	1	HISTORICAL FOUNDATIONS OF EDUCATION	2	BEF 2101 | BEF2101
BED(S)	2	1	INTRODUCTION TO SCHOOL PRACTICE	2	BSP 2101 | BSP2101
BED(S)	2	1	SYSTEMATIC GEOGRAPHY OF UGANDA	2	BGE2102 | BGE2103B
BED(S)	2	1	UGANDA'S ECONOMY	2	BBE2106B | BBEI2106
BED(S)	2	2	CLIMATOLOGY	2	BGE2201 | BGE2205B
BED(S)	2	2	URBAN GEOGRAPHY	2	BGE2203 | BGE2203B
BED(S)	2	3	GEOMETRICAL CONSTRUCTION	2	BME2302B | BMEI2302
BED(S)	2	3	NATURE SCOPE AND METHODOLOGY	2	BME2301B | BMEI2301
BED(S)	3	1	APPLIED CLIMATOLOGY	2	BGE3101B | BGE3103
BED(S)	3	1	DEVELOPMENT GEOGRAPHY OF EUROPE AND ASIA	2	BGE3103B | BGE3107
BEICT	1	1	FINANCIAL ACCOUNTING	2	BBM1105 | FIN1101B
BEICT	1	1	HUMAN GEOGRAPHY	2	BGE1102B | BGE1103
BEICT	1	1	PRINCIPLES OF PROGRAMMING	2	BIT1204 | ICT1101B
BEICT	1	1	UGANDA'S ECONOMY	2	ADM1102 | ADM1102B
BEICT	1	2	PRINCIPLES OF DEVELOPMENT ECONOMICS	2	BEC1201 | ECO1201
BEICT	1	2	SOCIOLOGICAL FOUNDATIONS OF EDUCATION	2	BEF 1201 | BEF1201
BEICT	1	2	SYSTEM ADMINISTRATION	2	ICT1202C | ICT1204B
BEICT	2	1	ENTREPRENEURSHIP IN EDUCATION	2	BEP 2101 | BEP2101B
BEICT	2	1	HISTORICAL FOUNDATIONS OF EDUCATION	2	BEF 2101 | BEF2101
BEICT	2	1	INTRODUCTION TO SCHOOL PRACTICE	2	BSP 2101 | BSP2101
BEICT	2	1	PHILOSOPHICAL FOUNDATIONS OF EDUCATION	2	BEF 2102 | BEF2102
BEICT	2	2	COMPUTER TEACHING METHODS	2	BIT2201B | ICT2115B
BEICT	2	2	ECONOMICS TEACHING METHODS	2	BEC2205 | ECO2205
BEICT	2	2	INDUSTRIAL ECONOMICS	2	BEC 2201 | ECO 2204
BEICT	2	2	MACRO ECONOMICS	2	BEC2201 | ECO 2201
BEICT	3	1	AGRICULTURE AND DEVELOPMENT	2	BGE3101 | BGE3102B
BEICT	3	1	ECONOMIC POLICY AND PLANNING	2	BEC3102 | ECO3102
BEICT	3	2	INTERMEDIATE MACRO ECONOMICS	2	BEC3201 | ECO3201
BEICT	3	2	INTERNATIONAL ECONOMICS	2	BES3211 | ECO3204
BEICT	3	2	RESEARCH REPORT	2	BER3205 | BER3206
BHRM	1	1	COMPUTER LITERACY	2	BIT 1101 | ICT1108B
BHRM	1	2	HISTORY AND CULTURAL HERITAGE OF UGANDA	2	BHC1201 | FND1205B
BHRM	2	2	PRODUCTION AND OPERATIONS MANAGEMENT	2	BHRM2202 | MGT2203B
BHRM	3	1	CUSTOMER CARE AND PUBLIC RELATIONS	2	BHRM3103 | MGT3102B
BHRM	3	1	LABOUR ECONOMICS	2	BHRM3112 | FIN3101B
BHRM	3	1	LABOUR LAW	2	ADM3104B | BHRM3111
BHRM	3	2	RESEARCH PROJECT REPORT	2	BHRM3206 | MGT3202B
BHRM	3	2	STRATEGIC HUMAN RESOURCE MANAGEMENT	2	BHRM3210 | MGT3206B
BIFA	3	2	ART RESEARCH REPORT	2	FAD3212B | FAD3213
BMC	3	2	INTERNATIONAL RELATIONS AND DIPLOMACY	2	DVS2206B | MSC3209B
BPLM	1	1	FINANCIAL ACCOUNTING	2	FIN1101B | FIN1103B
BPLM	1	1	MICRO ECONOMICS	2	FIN1102B | FIN1107B
DAD	1	1	INTRODUCTION TO PAINTING & STUDIO TECHNOLOGY	2	FAD1103B | FAD1103D
DAF	1	1	FINANCIAL ACCOUNTING	2	FIN1101B | FIN1101D
DBA	1	1	PRINCIPLES OF BUSINESS MANAGEMENT	2	MGT1101B | MGT1101D
DCE	1	1	COMPUTER LITERACY	2	ICT1108B | ICT1108D
DCE	1	2	INDUSTRIAL TRAINING I	2	DC1212 | ENG1212D
DCE	2	2	INDUSTRIAL TRAINING II	2	DC2212 | ENG2213D
decd	2	1	CHILDREN'S PLAY AND DEVELOPMENT	2	DEC2103D | DECD2102
DHRM	1	1	PRINCIPLES OF ACCOUNTING	2	FIN 1103D | FIN1103D
DJ	1	1	MEDIA HISTORY AND ISSUES	2	MSC1103D | MSC1113D
DJ	1	2	INTRODUCTION TO PHOTO JOURNALISM	2	MSC1203D | MSC1213D
DJ	1	2	INTRODUCTION TO PUBLIC RELATIONS	2	MSC1204D | MSC1214D
DJ	1	2	MASS MEDIA AND SOCIETY	2	MSC1201D | MSC1211D
DPA	1	1	PRINCIPLES OF ACCOUNTING	2	FIN 1103D | FIN1103D
DPE	1	1	COMPUTER LITERACY	2	BIT1101B | DIT1101D
DPE	2	1	THE SHORT STORY	2	BLT2101B | DEL2101D
DPE	2	2	THE RECEPTIVE SKILLS OF COMMUNICATION	2	BEL2203B | DEL2202D
DPE	2	3	THE NOVEL	2	BLT2301B | DEL2301D
DPLM	1	2	BUSINESS STATISTICS	2	FIN1203B | FIN1203D
SWSA	1	1	COMMUNICATION AND LANGUAGE SKILLS	2	BCS 1101 | FND1101B
SWSA	1	1	INTRODUCTORY ECONOMICS	2	DVS1103B | DVS1103D
SWSA	1	2	HISTORY AND CULTURAL HERITAGE OF UGANDA	2	BHC1201 | FND1205B
