ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
8842	BED(S)	BHL2101	2	1	HUMAN LEARNING/GROWTH AND COGNITION /DEVELOPMENT 	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
3362	BED(S)	BSP 2101	2	1	INTRODUCTION TO SCHOOL PRACTICE	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
8843	BED(S)	BSP2101	2	1	INTRODUCTION TO SCHOOL PRACTICE	NO	BEICT	BAED|BEICT
8844	BED(S)	MGT 1104B	2	1	ENTREPRENEURSHIP AND INNOVATION	NO	BAED|BBA|BEICT|BSAF	|BAED|BBA|BEICT
8845	BED(S)	PRC2101B	2	1	MARKETING MANAGEMENT	NO	BAED|BBA|BCOM|BEICT|BPLM|BSAF|DBA	BAED|BBA|BBM|BCOM|BEICT|BEM|BPLM|BSAF|DAF|DBA|DBM|DPLM
8664	BED(S)	BCU2201	2	2	GENERAL TEACHING - LEARNING METHODS	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
8846	BED(S)	BCU2201	2	2	GENERAL TEACHING - LEARNING METHODS	NO	BAED|BEICT|BVS	BADE|BAED|BEICT|BSCED|BSCEDU|BVS
8665	BED(S)	BCU2202	2	2	EDUCATIONAL TECHNOLOGY	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BSCED|BSCEDU|BVS
8847	BED(S)	BCU2203	2	2	CURRICULUM EVALUATION AND INNOVATION	NO	BAED	BAED|BEICT
8666	BED(S)	BCU2204	2	2	PROFESSIONAL ETHICS	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
8848	BED(S)	BCU2204	2	2	PROFESSIONAL ETHICS	NO	BAED|BEICT|BVS	BAED|BEICT|BVS
8849	BED(S)	BEP2204B	2	2	ENTREPRENEURSHIP TEACHING METHODS	NO	BAED|BEICT	BAED|BEICT
8668	BED(S)	BGE2203	2	2	URBAN GEOGRAPHY	NO	BAED	BAED|BEICT|BSCEDU
8851	BED(S)	BGE2203	2	2	URBAN GEOGRAPHY	NO	BAED	BAED|BEICT|BSCEDU
8852	BED(S)	BGE2205	2	2	GEOGRAPHY TEACHING METHODS	NO	BAED|BEICT	BAED|BEICT|BSCEDU
