regno	programme	course_code	mark	filed_under_year	filed_under_sem	study_year_of_that_term	curriculum_year	curriculum_sem	assessment	destination_mark	destination_year	published_on	approve_batch
MRU2023000356	BEICT	BIT2201B	79	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000541	BEICT	BIT2201B	72	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000608	BIT	ICT3101B	58	2024/2025	2	3	3	1	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000651	BEICT	BIT2201B	63	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000771	BEICT	BIT2201B	90	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000809	BEICT	BIT2201B	75	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000881	BEICT	BIT2201B	88	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000908	BEICT	BIT2201B	66	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000989	BEICT	BIT2201B	76	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023000995	BEICT	BIT2201B	83	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001085	BEICT	BIT2201B	83	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001125	BEICT	BIT2201B	80	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001200	BEICT	BIT2201B	75	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001255	BED(S)	BKE 2106	80	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001255	BED(S)	BKE1202	78	2024/2025	2	2	2	1	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001257	BEICT	BIT2201B	83	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001365	BEICT	BIT2201B	73	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001383	BEICT	BIT2201B	70	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001398	BEICT	BIT2201B	80	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001404	BEICT	BIT2201B	80	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001421	BEICT	BIT2201B	78	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2023001441	BEICT	BIT2201B	78	2024/2025	1	2	2	2	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2024000743	BCOM	PRC1101B	60	2024/2025	2	1	1	1	REVIEW - same study year, different semester		2024/2025	2026-08-17 11:12:54	71
MRU2024001821	decd	DECD1101	68	2024/2025	2	1	1	1	REVIEW - same study year, different semester		2024/2025	NULL	1
MRU2024002007	decd	DECD1101	72	2024/2025	2	1	1	1	REVIEW - same study year, different semester		2024/2025	2026-07-27 02:42:34	
MRU2022000159	BBEI	BBE3204B	76	2023/2024	2	2	3	2	REVIEW - staged workflow, other batch		2024/2025	NULL	1
MRU2023000887	BSM	FND1101B	61	2023/2024	1	1	3	1	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001061	BBA	FIN3209B	70	2023/2024	2	2	3	2	REVIEW - staged workflow, other batch		2024/2025	NULL	1
MRU2023001061	BBA	MGT3201B	75	2023/2024	2	2	3	2	REVIEW - staged workflow, other batch		2024/2025	NULL	1
MRU2023001061	BBA	MGT3202B	67	2023/2024	2	2	3	2	REVIEW - staged workflow, other batch		2024/2025	NULL	1
MRU2023001407	BSM	FND1101B	69	2023/2024	1	1	3	1	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	FIN3102B	63	2024/2025	1	2	3	1	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	FIN3203B	75	2024/2025	2	2	3	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	FIN3204B	67	2024/2025	2	2	3	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	FIN3205B	83	2024/2025	2	2	3	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	MGT3201B	80	2024/2025	2	2	3	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001455	BBA	MGT3202B	67	2024/2025	2	2	3	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2023001475	BSM	FND1101B	70	2023/2024	1	1	3	1	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2024000028	BED(P)	BEC3205B	65	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:55:48	38
MRU2024000029	BED(P)	BEC3205B	70	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:16	38
MRU2024000032	BED(P)	BEL3201B	60	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:26	38
MRU2024000032	BED(P)	BSS3202B	79	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 13:45:56	47
MRU2024000033	BED(P)	BLT3202B	60	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:26	38
MRU2024000033	BED(P)	BSS3202B	75	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 13:45:56	47
MRU2024000076	BED(P)	BEL3201B	60	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:27	38
MRU2024000076	BED(P)	BLT3203B	60	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:27	38
MRU2024001621	BED(P)	BRE3201B	72	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:56:40	38
MRU2024001640	BED(P)	BEC3205B	70	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:55:56	38
MRU2024001663	SWSA	SWA2204B	59	2024/2025	2	1	2	2	REVIEW - staged workflow, other batch		2025/2026	NULL	1
MRU2024001843	BED(P)	BEC3205B	70	2025/2026	2	2	3	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 12:55:38	38
MRU2024001877	BED(ECD)	BECD3101	73	2025/2026	1	2	3	1	REVIEW - staged workflow, other batch		2026/2027	2026-08-14 16:15:40	59
MRU2024001877	BED(ECD)	BECD3102	63	2025/2026	1	2	3	1	REVIEW - staged workflow, other batch		2026/2027	2026-08-14 16:15:40	59
MRU2025002267	DPE	DEE2201D	55	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-10 13:45:57	47
MRU2025002281	BED(ECD)	BECD3101	76	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025002281	BED(ECD)	BECD3102	78	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025002379	BED(ECD)	BECD3101	80	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025002379	BED(ECD)	BECD3102	79	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025002451	BED(ECD)	BECD3101	72	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025002451	BED(ECD)	BECD3102	67	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025003700	DPE	DME2201D	73	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-12 07:26:58	55
MRU2025003717	BED(P)	BEL2201B	82	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-12 07:26:59	54
MRU2025003717	BED(P)	BEL2203B	75	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-12 07:26:59	54
MRU2025003717	BED(P)	BSS2201B	81	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-14 16:15:40	59
MRU2025003717	BED(P)	BSS2202B	81	2025/2026	2	1	2	2	REVIEW - staged workflow, other batch		2026/2027	2026-08-14 16:15:40	59
MRU2025003857	BED(ECD)	BECD3101	80	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
MRU2025003857	BED(ECD)	BECD3102	80	2025/2026	1	1	3	1	REVIEW - staged workflow, other batch		2027/2028	2026-08-14 16:15:40	59
